Ship,Sunk date,Notes,Coordinates,Year
Maple Leaf,1 April 1864,An American Civil War troopship that struck a naval mine near Jacksonville.[4][5],,1864
USS Massachusetts (BB-2),21-Jan,An Indiana-class battleship that was sunk as a target for shore batteries off Pensacola.,,2021
USS Oriskany (CV-34),17-May-06,An Essex-class aircraft carrier that was sunk as an artificial reef off Pensacola.,,2006
USS Preble,27 April 1863,A sloop-of-war that exploded off Pensacola.,,1863
San Juan,19 September 1559,A Spanish galleon that was sunk by a hurricane.,30°20′N 87°14′W﻿ / ﻿30.34°N 87.23°W﻿ / 30.34; -87.23﻿ (E,1559
Benjamin C. Cromwell,1 August 1899,An American schooner that was wrecked and beached in a hurricane on Dog Island.,,1899
Capitola,1 August 1899,A steamship that was wrecked and beached in a hurricane on Dog Island.[citation needed],,1899
Cortesia,1 August 1899,An Italian barque that was split in half and beached in a hurricane on Dog Island.[citation needed],,1899
Elsbeth,1 August 1899,A Norwegian barque that was wrecked and beached in a hurricane on Dog Island.[citation needed],,1899
Empire Mica,29-Jun-42,A British cargo ship torpedoed and sunk by U-67 off the coast of Apalachicola[citation needed],29°29′N 85°17′W﻿ / ﻿29.483°N 85.283°W﻿ / 29.483; -85.283﻿ (E,1942
HMS Fox (1799),1799,A 14 gun schooner that was sunk off Dog Island.[citation needed],,1799
Grace Andrews,1 August 1899,An American schooner that was wrecked and beached in a hurricane on Dog Island.,,1899
Hindoo,1 August 1899,A Norwegian barque that was wrecked in a hurricane and beached on Dog Island.[citation needed],,1899
Iola,1 August 1899,A steamship that was wrecked and beached in a hurricane on Dog Island.[citation needed],,1899
James A. Garfield,1 August 1899,An American barque that was wrecked and beached in a hurricane on Dog Island.,,1899
Jafnhar,1 August 1899,A Norwegian barque that was wrecked in a hurricane and beached on Dog Island.,,1899
Latara,1 August 1899,A Russian barque that was wrecked in a hurricane and beached on Dog Island.[citation needed],,1899
Le Tigre,16 February 1766,A merchant vessel that was stranded on Dog Island during a hurricane.[citation needed],,1766
Mary E. Morse,1 August 1899,An American schooner was wrecked in a hurricane and beached on Dog Island.[citation needed],,1899
Ranavola,1 August 1899,A Norwegian barque that was destroyed in a hurricane at Dog Island.[citation needed],,1899
Vale,1 August 1899,A Norwegian barque that was wrecked and beached in a hurricane on Dog Island.[citation needed],,1899
Warren Adams,1 August 1899,An American schooner that was wrecked and beached in a hurricane on Dog Island.[citation needed],,1899
Vidette,1 August 1899,An American brigantine that was wrecked and beached in a hurricane on Dog Island.,,1899
USS Narcissus (1863),4 January 1866,A steamboat that sank off Egmont Key.,,1866
Bessie Whiting,11-Jan-18,A schooner that ran aground off Perico Island.[8],,2018
Nohab (Lensahn III),1934,"The former steam yacht of Friedrich Augustus II, Grand Duke of Oldenburg (1852-1931). In September 1926, while in Biscayne Bay, the ship was damaged by a hurricane and five of the seven crew died, including the captain. She was towed to the Port of Miami by tugs. In 1928, she was moved to Tampa Bay but she was not repaired and she sank in 1934. Her hulk was towed 15 nautical miles out to sea and abandoned to sink. The location of her wreck was forgotten and only rediscovered in 2007.[11]",,1934
SS Regina,1940,A tanker that sank near Bradenton Beach.,,1940
Georges Valentine,16-Oct-04,A barquentine that sank in a storm off Hutchinson Island.,,2004
USS Muliphen (AKA-61),21-Jan-89,An Andromeda-class attack cargo ship that was sunk as an artificial reef off Stuart.,,1989
USS Rankin (AKA-103),24-Jul-88,A Tolland-class attack cargo ship that was sunk as a fishing and diving reef off Stuart.,,1988
HMS Fowey (1744),26 June 1748,A warship that struck a reef offshore from Biscayne Bay.,,1748
SS Arratoon Apcar,20 February 1878,A freighter that struck the reef where the Fowey Rocks Lighthouse was under construction.,,1878
SS Bud Krohn,3-Dec-89,A Spanish cargo ship that was sunk as an artificial reef.[12],,1989
Half Moon,1930,"A German racing yacht that ended its life as a floating restaurant and dance hall off Miami, where it sank near Key Biscayne.",,1930
SV Ingrid,18 April 1895,A Norwegian (originally Canadian) barque carrying lumber on a trip from Pensacola to Rio de Janeiro that was wrecked on the Fowey Rocks.[13],,1895
SS Potrero del Llano,14-May-42,An oil tanker that was torpedoed by U-564.,,1942
MV Adolphus Busch,24-Sep-98,A cargo ship that was sunk as an artificial reef off Looe Key.,,1998
USS Alligator,23 November 1822,A schooner that ran aground on Alligator Reef.,,1822
USS Amesbury (DE-66),1962,A Buckley-class destroyer escort that sank under tow off Key West.[14],,1962
Angustias,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
Benwood,9-Apr-42,A cargo ship that collided with Robert C. Tuttle off Key Largo.[15],,1942
USCGC Bibb (WPG-31),28-Nov-87,A Treasury-class cutter that was sunk as artificial reef off Key Largo.[4],,1987
Chavez,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
City of Washington,10-Jul-17,A steamship that ran aground off Key Largo.[1][16],,2017
USS Coco,9-Sep-19,A patrol vessel that was wrecked at Key West in the 1919 Florida Keys hurricane.,,2019
USS Curb (ARS-21),23-Nov-83,A Diver-class rescue and salvage ship that sank off Key West as an artificial reef in 185 fsw.[1][14],,1983
USCGC Duane (WPG-33),27-Nov-87,A Treasury-class cutter that was sunk as an artificial reef near Key Largo.[4][14],,1987
El Gallo Indiano,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
El Infante,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
El Rubi,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
USS Fred T. Berry (DD-858),14-May-72,"A Gearing-class destroyer that was scuttled off Key West as an artificial reef. In 1973, the research submersible Johnson Sea Link became entangled in the wreckage, resulting in the deaths of two of its occupants.",,1972
Guerrero,19 December 1827,A Spanish-Cuban slave ship that wrecked on a reef in the Florida Keys after a running gun battle with a Royal Navy anti-slavery patrol ship.,,1827
USS Helena I,11-Sep-19,A yacht that was wrecked off Key West in the 1919 Florida Keys hurricane.,,2019
Henrietta Marie,1700,A slave ship sunk off Florida Keys.,,1700
Herrera,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
Isaac Allerton,28 August 1856,A merchant ship that sank in a hurricane off the Saddlebunch Keys.,,1856
USS Katherine K.,10-Sep-19,A patrol vessel that was wrecked off Key West in the 1919 Florida Keys hurricane.,,2019
HMS Looe,5 February 1744,A frigate that ran aground off Big Pine Key during the War of Jenkins' Ear.,,1744
Major General Wallace F. Randolph,6-Mar-86,Renamed Thunderbolt. A mine planter that was sunk as an artificial reef off Marathon.,,1986
USS Morris,11 October 1846,A schooner that was wrecked off Key West in a hurricane.,,1846
USS Nemes,21-Aug-17,A patrol vessel that exploded off Key West.,,2017
Nuestra Señora de Atocha,6 September 1622,"A Spanish galleon that sank 40 miles (64 km) off the coast of Key West. The wreck was found on 20 July 1985 by treasure hunters, who soon began to raise $400 million in coins and silver.",,1622
Nuestra Señora del Populo,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
USS Patrol No. 1,10-Sep-19,A patrol vessel that was wrecked off Key West in the 1919 Florida Keys hurricane.,,2019
Queen of Nassau,2-Jul-26,A patrol boat that flooded and sank off Florida.,,1926
USS R-12,12-Jun-43,An R-class submarine that foundered south of the Florida Keys.,,1943
USS S-16 (SS-121),3-Apr-45,"An S-class submarine that was sunk off Key West as a target, in 260 fsw.[4]",,1945
San Felipe,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
San Francisco,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
San Jose,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
Santa Margarita,1622,A Spanish ship that sank in a hurricane off Key West.,,1622
USS Saufley (DD-465),20-Feb-68,A Fletcher-class destroyer that was sunk as a target in 420 fsw off Key West.,,1968
USS Sea Hawk,10-Sep-19,A patrol boat that was wrecked off Key West in the 1919 Florida Keys hurricane.,,2019
USS Spiegel Grove (LSD-32),17-May-02,A Thomaston-class dock landing ship that was sunk as an artificial reef off Florida Keys.[4],,2002
USS St. Sebastian,9-Sep-19,A patrol vessel that was wrecked at Key West in the 1919 Florida Keys hurricane.,,2019
USS Sturtevant (DD-240),26-Apr-42,A Clemson-class destroyer that ran into a friendly mine-field in the northwest channel.,,1942
USS Sylvia,9-Sep-19,A patrol vessel that was wrecked at Key West in the 1919 Florida Keys hurricane.,,2019
Sueco de Arizon,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
Tres Puentes,1733,A ship in the 1733 Spanish Plate Fleet that was wrecked along the Florida Keys.,,1733
HMS Tyger,11 January 1741,A frigate that ran aground on a reef in the Dry Tortugas.,,1741
U-2513,7-Oct-51,A Type XXI U-boat that was sunk west of Key West during rocket tests by the destroyer USS Robert A. Owens.[4],,1951
SS Valbanera,19-Sep,A steamship that sank in a hurricane 5 miles (8.0 km) east of Rebecca Shoal (about 45 miles (72 km) west of Key West).,,2019
USS Wilkes-Barre (CL-103),12-May-72,A Cleveland-class light cruiser that was sunk as a target off the Florida Keys.[1][17],,1972
USS Ozark (LSV-2),1981,A Catskill-class amphibious assault ship that was sunk as a target off Destin.,,1981
Amaryllis,22-Aug-68,"A cargo ship that ran aground at Singer Island on 7 September 1965, during Hurricane Betsy. After several salvage attempts, the ship was abandoned and became a tourist attraction. Eventually, the Army Corps of Engineers succeeded in towing the ship three-quarters of a mile out to sea, where she was scuttled as an artificial reef.",,1968
Inverrosa,8-May-68,"An ore carrier ran aground off Boca Raton. She was refloated on May 23, subsequently laid up and scrapped.",,1968
SS Inchulva,11-Sep-03,A British Steamship that ran aground and sank off Delray Beach in a hurricane.,,2003
Lofthus,1898,A barque that sank near Boynton Beach.,,1898
Lubrafol,9-May-42,A Panamanian tanker that sunk after being torpedoed by U-564.[18],,1942
SS Ohioan,8-May-42,A Cargo Ship that was sunk off Boynton Beach by U-564.,,1942
USCGC Blackthorn (WLB-391),28-Jan-80,"A USCG seagoing buoy tender that collided with the tanker Capricorn in Tampa Bay, in the Egmont channel. The wreck was raised and re-sunk 20 mi (32 km) off Clearwater.[1]",,1980
Antonio Ensenat,1-Nov-43,A Cuban schooner that sank after colliding with a Honduran schooner bow to bow on 1 November 1943.[9],27°05.12′N 82°41.00′W﻿ / ﻿27.08533°N 82.68333°W﻿ / 27.08533; -82.68333﻿ (Antonio E,1943
Bay Ronto,13-Sep-19,A British freighter that sank during a hurricane.[19],,2019
Zalophus,4-Feb-30,A private yacht that was owned by John Ringling and sank after hitting an uncharted metallic object 1 mile off Lido Key. New York Mayor Jimmy Walker and his mistress Bettie Crompton were notably onboard.[20],,1930
USS Basilone,9-Apr-82,A Gearing-class destroyer that was sunk as a target off St. Augustine.,,1982
Industry,6 May 1764,"A British supply sloop en route from New York, wrecked off St. Augustine Light.[citation needed]",,1764
USC&GS Isis,20-Jan,A survey ship that was wrecked off Crescent Beach.,,2020
Urca de Lima,1715,"A Spanish ship, and part of the 1715 Treasure Fleet, that sank near Fort Pierce",,1715
A.B. Noyes,16-Oct-1863,A Union barge that was captured and burned by Confederates near Fort Brooke Fort Brooke,,1863
SS Commodore,2 January 1897,"A steamboat that foundered off Ponce de Leon Inlet Light. Stephen Crane, a passenger on the ship, was stranded for thirty hours in a dingy, and based his story ""The Open Boat"" on the experience.",,1897
USS Mindanao (ARG-3),1980,A Luzon-class auxiliary ship that was sunk as an artificial reef off Daytona Beach.,,1980
Nathan F. Cobb,1 December 1896,A schooner that ran aground off Ormond Beach.,,1896
115,18 December 1899,ran aground on Pic Island.,,1899
Arlington,1-May-40,A steamship that broke up and sank in heavy seas.,,1940
Bannockburn,21-Nov-02,A steel-hulled freighter that disappeared on Lake Superior.,,2002
Alvin Clark,19 June 1864,"A schooner that sank off the shore of Chambers Island. It was raised in 1969 and taken to Menominee, where it became a tourist attraction. However, it quickly deteriorated, and was demolished in 1994 to make way for a parking lot.",,1864
America,28 September 1880,A wooden schooner that struck another vessel's scow line.,,1880
SS Anna C. Minch,11-Nov-40,A cargo carrier that broke in two and sank during the Armistice Day Blizzard.,,1940
SS Appomattox,2-Nov-05,A bulk cargo steamship that ran aground in fog.,,2005
SS Australasia,18 November 1896,A wooden steamship that sank after burning to a total loss.,,1896
SS Carl D. Bradley,18-Nov-58,"A self-unloading Great Lakes freighter caught in a vicious storm on Lake Michigan, it split in two and sank with all except two survivors. Their company did not believe that the ship split in two, since this was the first time there were any witnesses to see this happen. The weakened hull was due to too much sulphur in the metal causing it to become brittle in cold weather.",,1958
SS Chicora,21 January 1895,A steamer that went missing in Lake Michigan,,1895
Christina Nilsson,23 October 1884,A schooner that sank in a blizzard off Baileys Harbor.,,1884
City of Muskegon,28-Oct-19,"A paddlewheel steamer that struck a pier in a gale at Muskegon, Michigan, sinking in four minutes.",,2019
Continental,1904,A bulk carrier that sank off the coast of Two Rivers.,,1904
Dreadnaught,September 1886,"Schooner which was sunk after collision with the tug Cheney off Pt. Au Gres, Saginaw Bay.[15]",,1886
SS Eber Ward,20-Apr-09,A cargo ship that foundered in heavy ice west of Mackinaw City.,,2009
Erie L. Hackley,3-Oct-03,"A cargo liner that sank in a storm near Green Island, Wisconsin.",45°03.71′N 87°27.37′W﻿ / ﻿45.06183°N 87.45617°W﻿ / 45.06183; -87.45617﻿ (E,2003
SS Eastland,24-Jul-15,"Rolled over in the Chicago River in Chicago, Illinois. A total of 848 passengers and crew were killed––the largest loss of life in a single shipwreck on the Great Lakes.",,2015
SS Francisco Morazan,29-Nov-60,Grounded and became a total loss in 1960 off the south shore of South Manitou Island. She ran over the wreck of the bulk freighter SS Walter L Frost.,,1960
Gallinipper,1851,A schooner that sank in a gale off the coast of Centerville.,,1851
General Winfield Scott,7 August 1871,A schooner that ran aground between Hog and Washington islands in Wisconsin.,,1871
George W. Morley,5 December 1897,"A wooden Great Lakes bulk freighter that caught fire off the shore of Evanston, Illinois.[16]",,1897
Grace Channon,1877,"A three-masted wooden schooner that collided with the propeller tug Favourite 12 miles south of Milwaukee, Wisconsin.[17]",,1877
Hennepin,18-Aug-27,The first self-unloading bulk carrier; sprang a leak off the east coast of Lake Michigan.,,1927
SS Henry Cort,30-Nov-34,"A whaleback freighter that ran aground at Muskegon, Michigan.",,1934
Home,1858,A schooner that collided with the William Fiske off the coast of Centerville.,,1858
Iris,1913,A schooner that ran aground off the coast of Washington Island.,,1913
Lady Elgin,8 September 1860,A steamship wrecked in Lake Michigan near Chicago following a collision with the schooner Augusta. The greatest loss of life on open water in the Great Lakes.,42°11′00″N 87°39′00″W﻿ / ﻿42.18333°N 87.65000°W﻿ / 42.18333; -87.65000﻿ (PS Lady E,1860
SS Lakeland,3-Dec-24,A steel freighter that sank after she sprang a leak.,,1924
L.R. Doty,25 October 1898,A steamship lost in a violent storm while towing the Olive Jeanette.,,1898
Lumberman,6 April 1893,A schooner that sank in a storm off the coast of Oak Creek.,,1893
Meridian,October 1873,A schooner that sank off the coast off Sister Bay.,,1873
SS Milwaukee,22-Oct-29,Train ferry that sank in a storm off Milwaukee with the loss of all hands. Today she lies about four miles northeast of the North Point Lighthouse.[18],,1929
Mount Vernon,10 April 1869,"Ran aground in weather off Kewaunee, Wisconsin.",,1869
Northerner,29 November 1868,A schooner that capsized off Port Washington.,,1868
Ocean Wave,23 September 1869,A scow schooner that sank in a storm off the coast of Door County.,,1869
SS Pere Marquette 18,9-Sep-10,"A steel-hulled car ferry that mysteriously flooded, and sank on Lake Michigan.",,2010
R. J. Hackett,12-Nov-05,"The first Great Lakes freighter; caught fire, ran aground and sank in Green Bay.",,2005
Robert C. Pringle,19-Jun-22,"A wooden tugboat that sank off the coast of Sheboygan, Wisconsin after striking an obstruction.[20]",,2022
Rosinco,19-Sep-28,A luxury yacht that sank off the coast of Kenosha.,,1928
Rouse Simmons,23-Nov-12,Sunk in a storm on Lake Michigan with its cargo of Christmas trees.,,2012
Silver Spray,15-Jul-14,A passenger steamer that ran aground against the Morgan Shoal[21] off the coast of Chicago.,,2014
Thomas Hume,21 May 1891,A schooner that disappeared on Lake Michigan.,,1891
SS Toledo,24 October 1856,"Seventy-nine of 81 passengers and crew were lost when she sank near Port Washington, Wisconsin in 10 to 35 feet of water. Also carried freight. Wood hull, propeller/direct acting steam engine built by B.B. Jones Co, Buffalo, New York 1854.",,1856
Sydney C. McLouth,27-Jun-12,"A wooden package freighter that burned and sank off Pensaukee, Wisconsin.",,2012
SM UC-97,7-Jun-21,"A German Type UC III submarine sunk as a target off the coast of Highland Park, Illinois.",,2021
SS Selah Chamberlain,13 October 1886,Sank two miles northeast of Sheboygan.,,1886
SS Walter L. Frost,4-Nov-03,Stranded off South Manitou Island. Her carcass was struck by and caused the sinking of the SS Francisco Morazan in 1960.,,2003
Admiral,2-Dec-42,"Towing barge CLEVECO (qv), she encountered a heavy gale and began to founder. She radioed in, but C.G. was unable to locate her in the murk before she went down with a loss of 14 people. Owned by Cleveland Tankers, Cleveland.
Wreck located by a commercial diver in 1969.",,1942
Adventure,7-Oct-03,The sand dredge sank off Kelley's Island following a fire.,,2003
SS Algeria,5-May-06,The schooner broke apart in a storm.,,2006
Alva B.,1-Nov-17,The tug ran aground off Avon Point in a storm.,,2017
Angler,1893,A tug that caught fire and sank in Long Point.,,1893
Atlantic,20 August 1852,Paddlewheel steamer rammed and sunk off Long Point in the fifth-worst single-vessel disaster to ever occur on the Great Lakes.,,1852
Arches,11 November 1852,"Also known as Oneida, the package freighter sank in a storm off Long Point.",,1852
Aycliffe Hall,1936,Sank off Long Point.,,1936
Black Duck,1872,A 51-foot single-mast scow sloop that sank in the East end of Lake Erie in August 1872.,,1872
British Lion,1877,Ran aground off Long Point. The same storm claimed the Mediera and Elize A. Turner.,,1877
Brown Brothers,1959,Sank off Long Point.,,1959
Brunswick,12 November 1881,The steamer sank following a collision with the schooner Carlingford,,1881
Canobie,1921,The steamer which was in poor condition burned outside of Erie.,,1921
Carlingford,12 November 1881,The schooner sank following a collision with the steamer Brunswick.,,1881
Cascade,24-Jan-04,The tug sank after encountering ice.,,2004
C.B. Benson,14 October 1893,Sank in a massive gale on her way to Detroit.,,1893
C.B. Lockwood,13-Oct-02,Discovered to have sunk below Lake Erie's bottom.[28],,2002
Cecil J.,27-May-44,The tugboat was scuttled after it caught fire.,,1944
Charger,31 July 1890,The schooner sank following a collision.,,1890
Charles B. Packard,16-Sep-06,Sank after striking the wreck of the schooner barge Armenia,,2006
Charles H. Davis,13-Jun-03,The wooden steamer sank after springing a leak near Cleveland,,2003
City of Concord,29-Sep-06,"The steamer sank north of Huron, Ohio in a storm.",,2006
City of Dresden,1922,Ran aground off Long Point.,,1922
Clarion,8-Dec-09,The passenger ship ran aground in a heavy gale and burned on the south east shoul of Lake Erie.,,2009
Cleveco,3-Dec-42,"While being towed by the tug Admiral she encountered a heavy gale and began to founder. The barge eventually broke away from Admiral and foundered. Owned by Cleveland Tankers, Cleveland.",,1942
Colonel Cook,9 September 1894,The schooner ran aground near Avon Lake.,,1894
Colonial,1914,The wooden steamer stranded and broke up.,,1914
Conemaugh,21 November 1906,The passenger ship ran aground in a gale off Pt Pele.,,1906
Craftsman,3-Jun-58,The barge foundered off Avon Point.,,1958
David Stewart,10 October 1893,The schooner broke apart in a storm in Pigeon Bay after trying to take shelter from a storm.,,1893
David Vance,19 July 1893,The schooner sank after a collision with the barge Lizzie.,,1893
Dundee,9-Nov-00,The schooner foundered in a gale while under tow by the steamer John N. Glinnden.,,2000
Duke Luedtke,21-Sep-93,The tug capsized and sank after springing a leak.,,1993
Edmund Fitzgerald,14 November 1883,Ran aground off Long Point.,,1883
Elize A. Turner,1877,Ran aground off Long Point. The same storm claimed the British Lion and Madiera.,,1877
Elphicke,1913,Ran aground off Long Point.,,1913
Empire,1870,Ran aground off Long Point.,,1870
Erie,9 August 1841,Caught fire and sank.,,1841
F.A. Meyer,18-Dec-09,The wooden bulk carrier sank after ice cutting into the hull.,,2009
Fanny L. Jones,10 August 1890,The schooner sank in a storm near Cleveland.,,1890
Frank E. Vigor,27-Apr-44,The bulk carrier sank in a collision off Pt. Pele,41°57′N 81°57′W﻿ / ﻿41.950°N 81.950°W﻿ / 41.950; -81.950﻿ (Frank E,1944
George Dunbar,29-Jun-02,The bulk carrier sank off Kelleys Island.,,2002
George Stone,13-Oct-09,The bulk carrier ran aground off Pt Pele,,2009
SS G. P. Griffith,18 June 1850,Between 241 and 289 lives lost when the ship caught fire. Third-greatest loss of life in any Great Lakes shipping disaster.,,1850
Grand Traverse,20 October 1896,The bulk carrier sank in a collision with the Livingstone.,,1896
H.A. Barr,24-Aug-02,The barge sank off Point Stanley.,,2002
Henry Roop,12 October 1843,A schooner lost in a storm.,,1843
H.G. Cleveland,August 1899,"A three-mast schooner carrying stone that sprung a leak and sunk four miles off of Lorain. Rescued by the City of Detroit and the tugboat Thomas Matham, everyone survived.",,1899
Hickory Stick,29-Nov-58,The derrick barge broke apart and sank in a storm.,,1958
Idaho,1897,Ran aground off Long Point.,,1897
Isabella J. Boyce,17-Jun,"A sandsucker which grounded on Middle Bass Island in Lake Erie, caught fire, and sunk in 10 feet (3.0 m) of water. There were no deaths.",,2017
Ivanhoe,10 April 1855,The schooner sank after a collision with the schooner Arab.,,1855
James B. Colgate,20-Oct-16,"A whaleback steamer that sank off Long Point, in a storm that also took the SS Merida and Marshall F Butters. Wreckage was located in 1991.",,2016
James J. Reed,1944,Sank in a collision with SS Ashcroft nea,,1944
Jay Gould,18-Jul-18,The bulk carrier sank in a storm near Pt Pelee.,,2018
Jennie P. King,1866,Foundered off Long Point.,,1866
Jersey City,1860,Foundered off Long Point.,,1860
J.G. McGrath,28 October 1878,Foundered off Long Point.,,1878
J.J. Boland Jr.,5-Oct-32,The bulk carrier sank near Westfield due to her hatches being open.,,1932
John B. Griffin,12 July 1890,The tug burned and sank.,,1890
John B. Lyon,12-Sep-00,The wooden bulk carrier foundered off Conneaut in the same storm that took the Dundee.,,2000
John Pridgeon Jr.,18-Sep-08,The wooden lumber carrier sprung a leak and sank off Cleveland after encountering a storm.,,2008
Jorge B.,19-Sep-83,The fishing vessel sank off Pt Pele.,,1983
Joseph Paige,14 October 1893,"Ran aground off Long Point, in a gale that also took the Wocoken.",,1893
Lawrence,1921,Ran aground off Long Point.,,1921
Lake Serpent,1829,The schooner disappeared en route to Cleveland with a load of limestone. Both occupants fell overboard and drowned; their bodies washed ashore just west of Cleveland. The ship was discovered in 2016 and identified in 2019. She is the oldest-confirmed shipwreck in Lake Erie.,,1829
Little Wissahickon,10 July 1896,Sank off Rondeau Point.,,1896
Lycoming,21-Oct-10,The steamer burned at her dock in Morpeth.,,2010
Mabel Wilson,26-May-06,The schooner ran aground on a breakwater after her towline snapped.,,2006
Madiera,1877,Ran aground off Long Point. The same storm claimed the British Lion and Elize A. Turner.,,1877
Magnetic,25-Aug-17,Sank off Long Point.,,2017
Margaret Olwill,28 June 1899,"Overloaded with limestone, the load shifted during an unexpected June gale and the ship was capsized by waves when the steering chains broke. At least eight people perished. The wreck was discovered in 2017.",,1899
Marquette & Bessemer No. 2,8-Dec-09,A car ferry that sank in a storm. Thirty-four to thirty-eight people perished.,,2009
Marshall F. Butters,10-Oct-16,A wooden lumber carrier that sank in the same that also took the James B. Colgate and Merida.,,2016
Mecosta,29-Oct-22,The bulk carrier foundered while under tow near Rocky River.,,2022
M.J. Wilcox,8-May-06,The schooner ran aground near Kingsville.,,2006
Morning Star,6 June 1868,The paddle steamer sank after a collision with the barquentine Courtland near Vermilion.,,1868
Mystic,1907,Sank off Long Point.,,1907
New Brunswick,26 August 1858,Sank off Point Pelee.,,1858
Northern Indiana,17 July 1856,"Caught fire near Point au Pelee, Lake Erie, while en route from Buffalo to Monroe, Michigan.[31] 56 lives lost.",,1856
Paddy Murphy,23 April 1888,The tug caught fire and was beached and burned to the waterline.,,1888
Pascal P. Pratt,1908,Ran aground off Long Point.,,1908
Passaic,1 November 1891,The steamer sank off Dunkirk.,,1891
Penelope,19-Dec-09,The tug caught fire and was grounded and burned to the waterline.,,2009
Philip Minch,20-Nov-04,The bulk carrier burned and sank near Pelee Island.,,2004
Pocahontas,1862,Foundered off Long Point.,,1862
Queen of the West,8-Aug-03,The bulk carrier sank after springing a leak.,,2003
Raleigh,29-Nov-11,"During a storm, the rudder broke and she ran aground about 1 mile off Wildwood Road, Sherkston, Ontario in 30 feet of water.",,2011
Rebecca Foster,1857,Foundered off Long Point.,,1857
Robert,26-Sep-82,The tug sank after a collision off Chatham-Kent.,,1982
S.F. Gale,28 November 1876,The schooner foundered off Cleveland.,,1876
St. James,October 1870,Sank of unknown cause off Long Point in Lake Erie; discovered 1984.,,1870
Sand Merchant,17-Oct-36,The sand dredger sank in a storm off Cleveland.,,1936
Sarah E. Sheldon,20-Oct-05,A wooden bulk carrier that struck a reef off Lorain and broke up.,41°29′N 82°06′W﻿ / ﻿41.483°N 82.100°W﻿ / 41.483; -82.100﻿ (Sarah E,2005
Siberia,1883,A schooner that ran aground off Long Point.,,1883
Smith,25-Oct-30,"A tugboat that sank under tow off Long Point, Lake Erie.",,1930
Sultan,24 September 1864,Lost in a storm off of Cleveland.,,1864
Tasmania,20-Oct-05,The schooner sank off Pt Pelee after being struck by a large wave.,,2005
Two Fannies,10 August 1890,Sank after it developed a leak in heavy seas.,,1890
Valentine,10 October 1877,The schooner foundered in a storm.,,1877
Washington Irving,7 July 1860,"Sank off Dunkirk, New York.",,1860
Wild Rover,2 November 1874,"Foundered off Long Point, Ontario.",,1874
William H. Vanderbilt,1883,"Ran aground off Long Point, Ontario.",,1883
Willis,11 November 1872,The schooner sank in a collision with the schooner Elizabeth Jones.,,1872
Wocoken,14 October 1893,Ran aground off Long Point in a gale that also took the Joseph Paige.,,1893
Young Phoenix,1818,"Sank off Long Point, Lake Erie.",,1818
Milan,10 November 1849,"A schooner directly in front of Oak Orchard, New York in deep water",,1849
Laura Grace,1930,"A steamer directly in front of Long Pond Outlet in Greece, NY",,1930
Henry Roney,24 October 1879,"Directly in front of Webster, NY in 70 feet of water",,1879
US Coast Guard Boat 56022,1-Dec-77,Sunk during a violent storm en route from Oswego to Niagara. Between Ontario on the Lake and Pultneyville in front of the submerged pipeline in 32 feet of water,,1977
Orcadian,5 August 1858,Directly outside of Sodus Bay harbor on the western side of the harbor entrance in shallow water,,1858
Etta Belle,9 March 1873,Directly outside of Sodus Bay harbor on the eastern side of the harbor entrance in shallow water,,1873
Congercoal,5-Nov-17,Inside Little Sodus Bay along Fair Haven Beach State Park's western shoreline. Just off the parking lot and south of the boat launch.,,2017
David W. Mills,8-Nov-19,The wooden lake freighter ran aground on a reef and was broken apart by waves over time.,,2019
William Elgin,21 May 1818,,,1818
City of New York,26-Nov-21,The lake freighter sank in a storm off Stony Point with the loss of nine lives.,,2021
North Star,26 November 1886,The schooner sank with a load of coal off Stony Island,,1886
American,1 October 1894,The schooner sank with a load of coal off Stony Point,,1894
J.W. Langmuir,7 October 1875,The schooner sank with a load of Lumber off Gallo Island,,1875
S.S. Ellsworth,9 July 1877,The steamer caught fire and burned off Stony Point.,,1877
Aloha,1917,Sunk while in tow of the CW Chamberlain off Nine Mile Point,,1917
Annie Falconer,1904,A schooner that sank in a storm en route to Picton. One crew member perished of exposure upon reaching Amherst Island.,,1904
Bay State,4 November 1862,"Screw propeller, sank in storm. Wreck discovered August 2015.[32]",,1862
Belle Sheridan,7 November 1880,"A 123-foot, two-masted schooner. She was carrying coal en route to Toronto when caught in the Gale of 1880 and after fighting for hours, sank in 12 feet of water in Wellers Bay. Only one of the crew of seven survived.",,1880
China,1872,"A small steamer that caught fire and sank off False Duck Island, six months after launching.",,1872
